acao,tiny_id,tiny_codigo,tiny_nome,tipo,preco_tiny,preco_novo,custo_novo,sku_planilha,aba
alterar,339174858,4383934M4,Dobradiça Direita Inferior - Massey Ferguson 4383934M4 - Pad,V,50.54,34.87,20.01,4383934M4,03_AGCO
alterar,339174569,ACX3473430,Tampa Maior do Tubo - AGCO ACX3473430 - Padrão,V,13.79,9.66,5.46,ACX3473430,03_AGCO
alterar,339174882,ACX329796A,Defletor do Radiador - AGCO ACX329796A - Padrão,V,215.84,193.42,85.45,ACX329796A,03_AGCO
alterar,339174558,33070004,Condutor Reto de Sementes - AGCO 33070004 - Padrão,V,16.27,14.38,6.44,33070004,03_AGCO
alterar,355354280,6237989M1,6237989M1 KIT 10 PÇ - CORPO BICO 1POL E SAÍDAS,N,405.69,45.72,26.46,6237989M1,03_AGCO
alterar,349111811,H-102724,DEDO RETRATIL JD QUADRADO - H-102724,N,12.64,9.98,5.0,H-102724,05_JOHN_DEERE
alterar,349111816,H-169914,DEDO RETRATIL JD - H-169914,N,12.64,10.03,5.0,H-169914,05_JOHN_DEERE
alterar,349111821,H-175727,SUPORTE DO MOLINETE - H-175727,N,7.32,5.9,2.9,H-175727,05_JOHN_DEERE
alterar,349111848,N276747,TAMPA ALGODÃO - N276747,N,25.01,19.77,9.9,N276747,05_JOHN_DEERE
alterar,349111855,A56254,ARO TAMPA RESERVATORIO CENTRAL DE SEMENTES - A56254,N,164.19,159.96,65.0,A56254,05_JOHN_DEERE
alterar,349111863,CQ59313,CAIXA DE SEMENTES MINI HOOPER - CQ59313,N,68.2,80.99,27.0,CQ59313,05_JOHN_DEERE
alterar,349111868,CQ65827,CONDUTOR JD - CQ65827,N,10.36,10.93,4.1,CQ65827,05_JOHN_DEERE
alterar,349111874,CQ54137,CONDUTOR JOHN DEERE - CQ54137,N,11.36,10.27,4.5,CQ54137,05_JOHN_DEERE
alterar,349111880,AA67780,CONDUTOR JOHN DEERE ACRILICO - AA67780,N,49.26,41.48,19.5,AA67780,05_JOHN_DEERE
alterar,349111893,A75169,CONEXÃO PIPOQUEIRA JD - A75169,N,11.36,9.08,4.5,A75169,05_JOHN_DEERE
alterar,349111898,A71321,ENGATE CONDUTOR JD - A71321,N,11.36,9.27,4.5,A71321,05_JOHN_DEERE
alterar,349111904,A72758,PENEIRA MINI HOOPER - A72758,N,14.15,10.88,5.6,A72758,05_JOHN_DEERE
alterar,349111912,A78269,TAMPA RESERVATORIO CENTRAL DE SEMENTES - A78269,N,477.39,414.75,189.0,A78269,05_JOHN_DEERE
alterar,349111917,A74430,ENGATE HIDR. RAPIDO - A74430,N,37.89,30.74,15.0,A74430,05_JOHN_DEERE
alterar,349111922,6424-4005,ACABAMENTO LATERAL RESERVATORIO DE SEMENTES - 6424-4005,N,8.36,8.05,3.9744,6424-4005,06_STARA
alterar,349111937,8031-4009,BICO CENTRAL 45/50 - 8031-4009,N,330.28,419.51,156.90996,8031-4009,06_STARA
alterar,349111944,6424-4028,BOCAL PIPOQUEIRA - 6424-4028,N,13.62,13.08,6.47082,6424-4028,06_STARA
alterar,349111954,6424-4026,CONEXAO MANGUEIRA SEMENTES - 6424-4026,N,8.34,8.09,3.96198,6424-4026,06_STARA
alterar,349111960,8031-4010,CARENAGEM CENTRAL - 8031-4010,N,337.59,402.63,160.38,8031-4010,06_STARA
