aba,linha,campo,antes,depois,motivo
02_SOHIPREN,141,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,142,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,143,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,144,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,145,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,146,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,147,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,148,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,149,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,150,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,151,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,152,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,153,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,154,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,155,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,156,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,157,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,158,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,159,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,160,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,161,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,162,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,163,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
