acao,aba,linha,sku_shopify,titulo_novo,custo,frete,marg,preco_novo,preco_site,delta_pct,body_site_len
update,05_JOHN_DEERE,12,KK31823-KIT25,Dedo Recolhedor Algodão Grande — Kit 25 Unidades — John Deere KK31823,180.0,27.57,0.3,374.5,374.5,0.0,1982
update,05_JOHN_DEERE,13,KK31824-KIT25,Dedo Recolhedor Algodão Médio — Kit 25 Unidades — John Deere KK31824,120.0,18.05,0.3,249.07,249.07,0.0,1860
update,05_JOHN_DEERE,14,KK31825-KIT25,Dedo Recolhedor Algodão Pequeno — Kit 25 Unidades — John Deere KK31825,100.0,16.74,0.3,210.62,210.62,0.0,1863
update,05_JOHN_DEERE,16,N276747,TAMPA ALGODÃO — N276747,9.9,1.06,0.3,19.77,19.77,0.0,791
update,05_JOHN_DEERE,17,N276747-KIT25,Tampa Algodão — Kit 25 Unidades — John Deere N276747,247.5,26.44,0.3,494.24,494.24,0.0,1853
update,05_JOHN_DEERE,18,A56254,ARO TAMPA RESERVATORIO CENTRAL DE SEMENTES — A56254,65.0,23.66,0.3,159.96,159.96,0.0,816
update,05_JOHN_DEERE,19,CQ59313,CAIXA DE SEMENTES MINI HOOPER — CQ59313,27.0,17.89,0.3,80.99,80.99,0.0,805
update,05_JOHN_DEERE,20,CQ65827,CONDUTOR JD — CQ65827,4.1,1.96,0.3,10.93,10.93,0.0,782
update,05_JOHN_DEERE,21,CQ65827-KIT50,Condutor — Kit 50 Unidades — John Deere CQ65827,204.99999999999997,98.23,0.3,547.09,547.09,0.0,1635
update,05_JOHN_DEERE,22,CQ54137,CONDUTOR JOHN DEERE — CQ54137,4.5,1.19,0.3,10.27,10.27,0.0,783
update,05_JOHN_DEERE,23,CQ54137-KIT50,Condutor — Kit 50 Unidades — John Deere CQ54137,225.0,59.27,0.3,512.88,512.88,0.0,1590
update,05_JOHN_DEERE,24,AA67780,CONDUTOR JOHN DEERE ACRILICO — AA67780,19.5,3.49,0.3,41.48,41.48,0.0,862
update,05_JOHN_DEERE,25,AA67780-KIT10,Condutor Acrilico — Kit 10 Unidades — John Deere AA67780,195.0,34.89,0.3,414.77,414.77,0.0,2159
update,05_JOHN_DEERE,26,CQ73378-KIT30,Condutor Plantadeira — Kit 30 Unidades — John Deere CQ73378,140.1,58.56,0.3,358.42,358.42,0.0,1679
update,05_JOHN_DEERE,27,A75169,CONEXÃO PIPOQUEIRA JD — A75169,4.5,0.53,0.3,9.08,9.08,0.0,791
update,05_JOHN_DEERE,28,A75169-KIT50,Conexão Pipoqueira — Kit 50 Unidades — John Deere A75169,225.0,26.26,0.3,453.33,453.33,0.0,1675
update,05_JOHN_DEERE,29,A71321,ENGATE CONDUTOR JD — A71321,4.5,0.64,0.3,9.27,9.27,0.0,788
update,05_JOHN_DEERE,30,A71321-KIT50,Engate Condutor — Kit 50 Unidades — John Deere A71321,225.0,31.99,0.3,463.66,463.66,0.0,1857
update,05_JOHN_DEERE,31,A72758,PENEIRA MINI HOOPER — A72758,5.6,0.43,0.3,10.88,10.88,0.0,793
update,05_JOHN_DEERE,32,A72758-KIT50,Peneira Mini Hooper — Kit 50 Unidades — John Deere A72758,280.0,21.43,0.3,543.84,543.84,0.0,1719
update,05_JOHN_DEERE,33,A78269,TAMPA RESERVATORIO CENTRAL DE SEMENTES — A78269,189.0,40.88,0.3,414.75,414.75,0.0,811
update,05_JOHN_DEERE,34,A74430,ENGATE HIDR. RAPIDO — A74430,15.0,2.04,0.3,30.74,30.74,0.0,793
update,05_JOHN_DEERE,35,A74430-KIT10,Engate Hidr. Rapido — Kit 10 Unidades — John Deere A74430,150.0,20.35,0.3,307.35,307.35,0.0,1801
update,05_JOHN_DEERE,37,KK31823-KIT50,Dedo Recolhedor Algodão Grande — Kit 50 Unidades — John Deere KK31823,360.0,41.02,0.3,723.52,723.52,0.0,1982
update,05_JOHN_DEERE,39,KK31824-KIT50,Dedo Recolhedor Algodão Médio — Kit 50 Unidades — John Deere KK31824,240.0,21.1,0.3,471.08,471.08,0.0,1861
update,06_STARA,6,6424-4005,ACABAMENTO LATERAL RESERVATORIO DE SEMENTES — 6424-4005,3.9744,0.49,0.3,8.05,8.05,0.0,815
update,06_STARA,7,6424-4005-KIT50,Acabamento Lateral Reservatorio de Sementes — Kit 50 Unidades — Stara 6424-4005,198.72,24.48,0.3,402.7,402.7,0.0,1648
update,06_STARA,10,8031-4009,BICO CENTRAL 45/50 — 8031-4009,156.90996,75.61,0.3,419.51,419.51,0.0,865
update,06_STARA,11,6424-4028,BOCAL PIPOQUEIRA — 6424-4028,6.47082,0.78,0.3,13.08,13.08,0.0,787
update,06_STARA,12,6424-4026,CONEXAO MANGUEIRA SEMENTES — 6424-4026,3.96198,0.52,0.3,8.09,8.09,0.0,797
update,06_STARA,13,6424-4026-KIT50,Conexao Mangueira Sementes — Kit 50 Unidades — Stara 6424-4026,198.099,26.04,0.3,404.39,404.39,0.0,1561
update,06_STARA,14,8031-4010,CARENAGEM CENTRAL — 8031-4010,160.38,62.78,0.3,402.63,402.63,0.0,861
update,06_STARA,24,6117-4142,BUCHA DO MANCAL PANTOGRAFICO — 6117-4142,1.4904,0.36,0.3,3.34,3.34,0.0,798
update,06_STARA,25,6117-4142-KIT50,Bucha do Mancal Pantografico — Kit 50 Unidades — Stara 6117-4142,74.52,17.89,0.3,166.73,166.73,0.0,1944
update,06_STARA,32,8031-4008,PONTEIRA BICO — 8031-4008,21.43692,3.19,0.3,44.43,44.43,0.0,808
update,06_STARA,33,8031-4008-KIT10,Ponteira Bico — Kit 10 Unidades — Stara 8031-4008,214.3692,31.9,0.3,444.32,444.32,0.0,1868
update,06_STARA,39,6424-4013,CONDUTOR ADUBO DISCO DUPLO — 6424-4013,8.23446,3.93,0.3,21.95,21.95,0.0,797
update,06_STARA,40,6424-4013-KIT25,Condutor Adubo Disco Duplo — Kit 25 Unidades — Stara 6424-4013,205.8615,98.23,0.3,548.64,548.64,0.0,1638
update,07_GTS,6,IPCX03009065,GIRO MOLINETE 2 — IPCX03009065,1.4364,0.26,0.3,3.06,3.06,0.0,835
update,07_GTS,7,IPCX03009065-KIT100,Giro Molinete 2 — Kit 100 Unidades — GTS IPCX03009065,143.64,25.59,0.3,305.33,305.33,0.0,1734
update,07_GTS,8,IPCX03009064,GIRO MOLINETE 1 — IPCX03009064,1.4364,0.26,0.3,3.06,3.06,0.0,835
update,07_GTS,9,IPCX03009064-KIT100,Giro Molinete 1 — Kit 100 Unidades — GTS IPCX03009064,143.64,25.59,0.3,305.33,305.33,0.0,1824
update,07_GTS,10,IPCX05009034,ROTULA MOLINETE — IPCX05009034,2.8512,0.37,0.3,5.81,5.81,0.0,833
update,07_GTS,11,IPCX05009034-KIT75,Rotula Molinete — Kit 75 Unidades — GTS IPCX05009034,213.84,27.85,0.3,436.06,436.06,0.0,1604
update,07_GTS,12,IPCX03007010-KIT20,Dedo Molinete — Kit 20 Unidades — GTS IPCX03007010,67.0,19.94,0.3,156.86,156.86,0.0,2191
update,07_GTS,13,IPCX03007010-KIT50,Dedo Molinete — Kit 50 Unidades — GTS IPCX03007010,167.5,25.78,0.3,348.72,348.72,0.0,2193
update,07_GTS,14,IPCX03007010-KIT100,Dedo Molinete — Kit 100 Unidades — GTS IPCX03007010,335.0,39.01,0.3,674.79,674.79,0.0,2195
update,07_GTS,15,IPCX03006056,MANCAL DEDO RETRÁTIL — IPCX03006056,3.4236,0.41,0.3,6.92,6.92,0.0,839
update,07_GTS,16,IPCX03006056-KIT60,Mancal Dedo Retrátil — Kit 60 Unidades — GTS IPCX03006056,205.416,24.53,0.3,414.87,414.87,0.0,1896
update,07_GTS,17,IPCX03006047,GUIA DEDO RETRATIL — IPCX03006047,3.564,0.49,0.3,7.31,7.31,0.0,837
update,07_GTS,18,IPCX03006047-KIT50,Guia Dedo Retratil — Kit 50 Unidades — GTS IPCX03006047,178.2,24.31,0.3,365.37,365.37,0.0,1898
